2023-12-31T16:55:23.9530025+01:00,10.0.10.1,10.0.10.1,520.9µs
2023-12-31T16:55:24.9532896+01:00,10.0.10.1,10.0.10.1,0s
2023-12-31T16:55:25.9525779+01:00,10.0.10.1,10.0.10.1,0s
2023-12-31T16:55:26.9527011+01:00,10.0.10.1,10.0.10.1,0s
2023-12-31T16:55:27.9530304+01:00,10.0.10.1,10.0.10.1,67.5µs
2023-12-31T16:55:28.9529867+01:00,10.0.10.1,10.0.10.1,60.5µs
2023-12-31T16:55:29.9535667+01:00,10.0.10.1,10.0.10.1,148µs
2023-12-31T16:56:53.2487734+01:00,1.1.1.1,1.1.1.1,9.9353ms
2023-12-31T16:56:54.2470277+01:00,1.1.1.1,1.1.1.1,8.0809ms
2023-12-31T16:56:55.2670892+01:00,1.1.1.1,1.1.1.1,28.0396ms
2023-12-31T16:56:56.2456549+01:00,1.1.1.1,1.1.1.1,5.9991ms
